tconst	averageRating	numVotes
tt10051586	3.8	408
tt10052156	5.7	78
tt10052290	6.2	178
tt10052928	5.1	92
tt10053058	5.7	15
tt10053426	3.1	134
tt10054316	4.4	1911
tt10054544	7.9	42
tt10054604	3.3	28
tt10054778	3.7	17
tt10054876	6.8	509
tt10054940	6.8	5
tt10055028	7.5	1040
tt10055546	6.4	103
tt10055770	7.2	1708
tt10055774	4.6	12
tt10056028	4.8	12
tt10056224	5.4	405
tt10056322	6.4	60
tt10056510	4.7	187
tt10058396	4.7	7
tt10058892	7.8	37
tt10059220	5.0	6
tt10059236	4.8	264
tt10059252	7.6	16
tt10059414	5.7	13
tt10059440	9.1	8
tt10059518	6.0	60045
tt10059624	6.0	48
tt10060094	5.6	16647
tt10060386	4.8	62
tt10060772	8.9	61
tt10061256	4.4	422
tt10061452	5.9	22
tt10061464	3.2	69
tt10062150	8.1	137
tt10062286	5.9	29
tt10062338	5.8	123
tt10062474	7.2	21
tt10062556	4.8	21710
tt10062614	5.4	4212
tt10062628	7.3	92
tt10062650	5.6	63
tt10062704	6.8	19
tt10063028	8.1	9
tt10063580	7.5	78
tt10063934	7.0	7
tt10064270	6.2	50
tt10064354	7.9	19
tt10064448	7.4	178
tt10064562	6.3	12
tt10064728	7.3	7
tt10064828	8.3	20
tt10064948	3.6	11
tt10065694	5.7	23962
tt10065750	5.8	24
tt10065976	5.5	489
tt10066040	6.3	313
tt10066162	6.1	260
tt10066262	8.5	6
tt10066432	4.4	381
tt10066526	7.1	156
tt10066756	7.2	229
tt10066808	6.9	30
tt10068158	7.5	492
tt10068184	5.8	7
tt10068544	7.9	563
tt10068716	8.4	13
tt10068916	8.1	2590
tt10069166	6.6	1576
tt10069476	4.9	113
tt10069842	5.4	5
tt1007029	6.4	106903
tt10070730	4.9	43
tt10071352	6.7	153
tt10071462	3.4	33
tt10071594	8.6	26
tt10071862	2.5	79
tt10072662	5.8	76
tt10072948	4.4	11
tt10073008	7.0	41
tt10073018	6.0	7
tt10073452	7.3	27
tt10073510	8.9	8
tt10074426	7.1	23
tt10074458	8.2	9
tt10074486	5.8	107
tt10074536	6.1	57
tt10074544	7.5	9
tt10075070	6.3	59
tt10075078	7.5	19
tt10075374	7.0	6
tt10075380	6.9	60
tt10075442	6.9	176
tt10075536	7.0	104
tt10075604	5.4	31
tt10075650	5.4	81
tt10075732	8.4	11
tt10075788	6.5	26
tt10075830	4.8	147
tt10075836	7.3	56
tt10075944	4.6	9
tt10076106	4.8	663
tt10076440	7.4	10
tt10076722	5.2	185
tt10077034	4.1	2353
tt10077042	6.0	11
tt10077090	6.8	8
tt10077134	7.0	5
tt10077544	6.4	1433
tt10077706	5.9	59
tt10077856	9.4	6
tt10077998	6.5	1003
tt10078132	7.3	7
tt10078138	6.5	6
tt10078206	1.0	8
tt10078290	6.3	112
tt10078450	6.8	8
tt10078502	7.3	301
tt10078532	7.2	12
tt10078664	5.5	50
tt10078764	4.4	15
tt10078834	6.9	10
tt10078844	6.8	5
tt10078894	2.9	87
tt10078900	6.0	9
tt10078904	1.5	289
tt10079028	3.1	15
tt10079448	8.2	15
tt10079698	4.8	102
tt10080052	6.7	23
tt10080086	4.4	41
tt10080092	4.7	111
tt10080270	6.1	847
tt10080834	4.7	9
tt10080924	7.3	822
tt10080996	6.9	158
tt10081086	6.6	5
tt10081104	5.4	54
tt10081116	6.8	859
tt10081120	5.5	8
tt10081154	4.6	16
tt10081166	5.4	6
tt10081172	6.5	45
tt10081202	7.2	383
tt10081210	4.2	90
tt10081238	4.7	20
tt10081402	1.8	240
tt10081546	8.5	10
tt10081596	3.7	231
tt10081728	7.9	47
tt10081762	6.2	3741
tt10081788	5.1	22
tt10082356	7.6	14
tt10083048	7.2	53
tt10083174	4.1	953
tt10083640	7.1	25171
tt10083986	7.4	34
tt10084190	6.2	2330
tt10084358	7.8	6
tt10084394	7.1	9
tt10084614	7.6	9
tt10084688	6.0	116
tt10084752	7.4	32
tt10084780	7.5	102
tt10084788	6.9	8
tt10085000	8.4	6
tt10085296	5.3	45
tt10085338	5.7	1406
tt10085648	5.9	101
tt10085844	6.3	7
tt10086502	6.1	242
tt10086648	5.0	28
tt10086692	7.3	86
tt10086784	7.0	89
tt10086808	7.8	66
tt10086834	6.9	166
tt10086906	4.0	34
tt10086930	7.3	35
tt10087134	4.7	639
tt10087396	5.6	9
tt10087448	5.8	70
tt10087544	7.0	5
tt10087628	6.6	40
tt10087946	5.2	20
tt10088006	6.4	77
tt10088984	5.9	111
tt10089152	6.9	13
tt10089828	5.0	9
tt10090744	7.6	77
tt10091268	6.2	58
tt10091380	4.9	57
tt10091530	4.9	2545
tt10091630	4.5	19
tt10091696	4.9	1594
tt10091972	7.6	19
tt10092508	5.5	8
tt10092736	5.3	31
tt10092752	5.0	2476
tt10092770	5.7	143
tt10092776	4.1	12
tt10092860	7.4	65
tt10093086	3.8	8
tt10093120	7.5	63
tt10093594	7.8	11
tt10095262	7.0	10
tt10095266	7.8	627
tt10095276	5.9	51
tt10095308	6.2	341
tt10095336	6.8	1558
tt10095498	8.3	7
tt10095582	7.7	483
tt10096114	8.2	28
tt10096422	8.0	150
tt10096424	5.0	297
tt10096842	4.7	4304
tt10097056	7.0	7
tt10097086	8.6	42
tt10097312	6.8	9
tt10097346	6.1	9
tt10097362	3.8	171
tt10097364	6.2	320
tt10097384	5.4	276
tt10097436	6.9	324
tt10097458	6.9	10
tt10097470	8.8	33
tt10097484	5.2	330
tt10097530	5.6	75
tt10097544	5.9	1335
tt10097752	6.7	14
tt10097816	6.1	43
tt10097832	5.6	31
tt10097954	8.0	7
tt10097958	5.4	114
tt10097968	3.1	12
tt10097970	7.0	11
tt10098048	8.3	11
tt10098060	9.0	8
tt10098112	7.0	12
tt10098134	8.2	6
tt10098288	4.3	9639
tt10098374	4.5	29
tt10098398	7.9	19
tt10098442	6.3	63
tt10098452	6.8	32
tt10098472	7.4	42
tt10098494	5.9	312
tt10100324	7.7	7
tt10100506	6.2	89
tt10100620	5.0	165
tt10100664	5.9	122
tt10100678	5.8	49
tt10100842	7.1	33
tt10100966	7.3	83
tt10101054	5.3	112
tt10101246	7.5	281
tt10101342	8.3	7
tt10101666	7.1	21
tt10101702	6.9	2854
tt10101734	8.9	9
tt10101782	6.2	55
tt10101806	6.1	176
tt10101810	9.4	15
tt10101846	6.5	328
tt10102080	7.0	35
tt10102164	5.2	5
tt10102192	4.7	74
tt10102250	6.8	5
tt10102296	8.0	8
tt10102328	6.5	58
tt10102350	3.2	996
tt10102402	6.7	126
tt10102408	3.9	10
tt1010248	5.8	101
tt10102490	4.2	21
tt10103028	4.5	556
tt10104502	6.7	218
tt10105438	6.5	23
tt10105850	6.2	47
tt10106082	7.5	37
tt10106416	10.0	6
tt10106734	7.2	6
tt10106812	7.9	108
tt10106822	8.1	57
tt10106848	7.8	47
tt10107012	7.3	10
tt10107222	6.5	810
tt10107482	1.7	21
tt10107594	8.1	12
tt10107868	8.2	19
tt10108256	6.6	11
tt10108358	6.6	27
tt10108544	5.7	619
tt10109262	7.2	205
tt10109750	5.0	505
tt10109752	3.8	15
tt10109932	9.0	5
tt10109980	7.6	20
tt10110022	4.2	53
tt10110180	5.5	117
tt10110476	7.6	15
tt10110614	6.8	3073
tt10110872	1.5	141
tt10110912	3.8	43
tt10111180	4.0	89
tt10111182	7.6	22
tt10111404	5.8	68
tt10111440	6.7	43
tt10111568	7.0	209
tt10111580	4.5	13
tt10111746	7.0	166
tt10111920	6.7	40
tt10112020	5.8	11
tt10112154	8.7	43
tt10112336	8.2	5
tt10112464	5.2	33
tt10112466	4.8	110
tt10115316	8.2	26
tt10115436	7.7	132
tt10115562	6.0	1838
tt10115638	6.2	216
tt10115644	4.9	59
tt10115840	6.8	9
tt10116022	4.9	93
tt10116478	7.2	28
tt10116488	6.7	44
tt10117046	7.1	29
tt10117174	8.8	6
tt10117402	6.3	376
tt10117520	9.0	5
tt10117768	6.6	978
tt10118064	5.6	108
tt10118134	5.2	22
tt10120830	7.7	7
tt10121022	8.5	10
tt10121110	6.4	13
tt10121372	8.1	1127
tt10121392	4.4	38485
tt10121508	6.1	453
tt10121762	7.2	852
tt10121894	5.8	27
tt10122038	7.5	174
tt10122042	8.2	50
tt10122392	7.0	723
tt10122486	7.7	53
tt10122504	3.2	111
tt10122528	7.3	7
tt10122618	7.2	99
tt10122846	6.2	49
tt10122930	8.3	19
tt10123698	6.5	652
tt10123970	5.7	1198
tt10124442	5.7	8
tt10124714	6.7	244
tt10125574	7.2	7
tt10125662	3.7	882
tt10125774	6.6	11
tt10125830	7.0	63
tt10125972	5.4	304
tt10125986	4.9	44
tt10126040	5.6	269
tt10126136	4.3	5161
tt10126434	5.7	3575
tt10126462	8.8	425
tt10126628	4.4	22
tt10126780	6.7	41
tt10127228	4.3	84
tt10127302	7.2	10
tt10127410	4.2	132
tt10127464	5.4	9
tt10127546	9.1	247
tt10127562	6.6	2688
tt10127628	6.0	64
tt10127634	2.3	10
tt10127684	6.1	8076
tt10127696	6.1	14
tt10127708	6.6	107
tt10127760	7.8	149
tt10128580	6.6	19
tt10128920	4.5	315
tt10129040	5.6	242
tt10129414	8.2	6
tt10129824	6.7	6
tt10130954	8.5	8
tt10131028	4.8	103
tt10131150	7.7	20
tt10131230	6.5	87
tt10131762	5.5	612
tt10131904	4.9	68
tt10132048	7.7	245
tt10132068	6.1	98
tt10132196	2.3	3100
tt10132488	6.6	78
tt10132976	5.9	722
tt10133066	9.0	1136
tt10133076	6.3	9
tt10133278	7.0	16
tt10133296	7.6	60
tt10133300	8.1	1283
tt10133378	5.2	253
tt10133380	8.5	16
tt10133680	6.3	35
tt10133780	6.0	67
tt10134372	8.4	42
tt10134756	8.8	6
tt10135068	6.9	660
tt10136034	8.8	26
tt10136364	4.8	26
tt10136434	6.0	93
tt10136606	7.2	44
tt10136880	5.0	321
tt10137106	4.8	6
tt10138312	6.3	45
tt10140002	7.8	369
tt10140014	7.7	9
tt10140138	3.5	56
tt10140310	6.5	8
tt10140532	4.1	19
tt10140592	7.8	9
tt10140922	6.2	497
tt10141026	5.7	81
tt10141990	7.9	251
tt10143114	5.4	161
tt10143308	5.9	40
tt10143498	6.2	1660
tt10144210	7.0	6
tt10144276	6.8	49
tt10145122	6.7	4276
tt10146070	7.8	110
tt10146194	7.2	19
tt10146198	6.2	113
tt10146204	6.0	16
tt10146208	6.1	275
tt10146586	3.2	7
tt10146728	7.4	180
tt10147382	6.4	1656
tt10147546	7.5	6787
tt10147568	6.2	82
tt10147580	6.6	246
tt10147590	6.6	5
tt1014763	6.5	69245
tt10147910	5.7	731
tt10147936	2.9	279
tt1014794	6.1	20
tt10148118	4.7	3594
tt10149080	6.8	125
tt10149506	4.3	26
tt10149800	4.4	6
tt10149868	5.3	5080
tt10149938	7.0	69
tt10150330	8.4	18
tt10150684	6.6	57
tt10151048	5.1	115
tt10151054	5.4	2859
tt10151056	8.9	16
tt10151104	8.4	15
tt10151260	7.2	2104
tt10151270	7.6	9
tt10151496	7.9	18
tt10151656	6.2	58
tt10151800	6.0	6
tt10151838	6.6	13
tt10151866	7.7	15
tt10151968	9.2	5
tt10152200	2.0	149
tt10152214	5.3	203
tt10152332	9.1	7
tt10152582	5.3	7
tt10152722	6.6	144
tt10152736	6.1	29382
tt10152746	7.6	6
tt10152772	5.5	12
tt10153510	7.1	58
tt10153626	6.0	6
tt10153664	4.9	36
tt10153730	6.3	13
tt10153822	9.4	28
tt1015471	6.2	2120
tt10155126	6.7	12
tt10155342	6.8	918
tt10155932	4.2	36399
tt10155980	7.1	68
tt10156020	5.7	115
tt10156112	7.3	996
tt10156122	5.6	20
tt10156406	6.6	5
tt10156426	6.1	19
tt10156578	7.5	21
tt10156584	8.9	617
tt10156586	2.3	103
tt10156610	9.6	145
tt10157470	3.0	10
tt10157636	5.3	9
tt10157748	5.6	16
tt10157810	4.7	406
tt10157842	6.4	164
tt10158628	4.5	22
tt10158634	7.3	37
tt10160650	9.5	57
tt10160686	7.8	13
tt10160700	8.4	57
tt10160722	4.2	5
tt10160742	8.8	326
tt10160782	7.7	33
tt10160896	3.8	251
tt10160974	4.5	587
tt10161238	6.0	936
tt10161248	8.0	32
tt10161292	7.8	6
tt10161390	6.1	8
tt10161666	7.6	73
tt10161718	8.4	6
tt10161886	5.9	25619
tt10161888	5.8	5
tt10161980	3.9	11
tt10162142	7.6	78
tt1016223	3.3	259
tt10162730	3.8	79
tt10163050	7.0	7
tt10163286	6.8	46
tt10163288	6.6	14
tt10164108	7.0	48
tt10165168	7.4	36
tt10165624	3.4	188
tt10165870	4.9	103
tt10165918	6.9	35
tt10166508	6.7	33
tt10166642	6.7	363
tt10166750	4.9	10
tt10166836	5.6	8
tt10166880	6.5	72
tt10167422	6.4	285
tt10167982	8.9	14
tt10168044	6.2	53
tt10168094	5.2	7
tt10168338	7.3	84
tt10168462	7.1	29
tt10168672	4.6	1485
tt10168852	6.6	18
tt10168862	6.0	27
tt10169440	7.9	9
tt10169754	7.0	45
tt10170038	5.9	27
tt10171848	6.2	21
tt10171876	3.3	173
tt10171904	7.7	31
tt10171988	7.5	59
tt10172204	7.8	532
tt10172308	6.6	34
tt10172550	5.4	156
tt10172986	4.3	86
tt10172996	2.2	24
tt10173160	6.6	7
tt10173578	3.4	5
tt10174998	7.1	56
tt10175106	7.3	31
tt10175340	5.4	34
tt10176320	7.4	53
tt10176328	8.8	8
tt10176540	7.8	21
tt10176564	7.5	10
tt10177384	7.8	51
tt10177712	7.2	45
tt10177960	9.4	9
tt10178280	6.5	12
tt10178386	6.6	32
tt10178860	3.4	14
tt10178906	4.0	5
tt10178972	5.7	21
tt10179072	5.9	19
tt10179154	8.4	33
tt10181594	5.1	59
tt10181606	6.8	127
tt10181900	8.2	7
tt10181964	5.6	25
tt10181968	9.2	8
tt10182228	5.4	90
tt10182318	4.3	7
tt10182822	6.7	5306
tt10183542	2.9	891
tt10183616	5.5	579
tt10183674	7.1	27
tt10183682	4.6	115
tt10183728	7.4	8
tt10183816	5.3	16053
